"state_code","state_name","location"
"JHR","Johor","Peninsular"
"KDH","Kedah","Peninsular"
"KTN","Kelantan","Peninsular"
"KUL","Wilayah Persekutuan Kuala Lumpur","Peninsular"
"LBN","Wilayah Persekutuan Labuan","East"
"MLK","Melaka","Peninsular"
"NSN","Negeri Sembilan","Peninsular"
"PHG","Pahang","Peninsular"
"PJY","Wilayah Persekutuan Putrajaya","Peninsular"
"PLS","Perlis","Peninsular"
"PNG","Pulau Pinang","Peninsular"
"PRK","Perak","Peninsular"
"SBH","Sabah","East"
"SGR","Selangor","Peninsular"
"SRW","Sarawak","East"
"TRG","Terengganu","Peninsular"
